"","id","nat","age","gender","edu","tuk","tus","fampart","famgt","tg","group","period","pdmv1","pdmv2","pdt1","pdt2","role2","ugmv2","payoff2","ugt2","role1","ugmv1","payoff1","ugt1","ugcc2","ugcc1"
"1",263038,"1",22,1,4,0.416666666666667,18,2,3,0,19,3,1,0,9687,2385,0,30,0,4375,0,"45",0,7427,0.6,0.9
"2",263038,"1",22,1,4,0.416666666666667,18,2,3,0,19,2,1,1,21865,3163,0,45,55,4795,0,"36",64,17508,0.9,0.72
"3",263038,"1",22,1,4,0.416666666666667,18,2,3,0,19,4,0,0,3041,1159,0,35,0,4277,0,"25",75,5153,0.7,0.5
"4",263038,"1",22,1,4,0.416666666666667,18,2,3,0,19,1,0,1,44744,4273,0,30,0,8620,0,"40",60,14107,0.6,0.8
"5",263038,"1",22,1,4,0.416666666666667,18,2,3,0,19,5,0,0,5349,1735,0,40,60,4431,0,"35",65,8044,0.8,0.7
"6",307653,"0",21,1,3,21,1,1,4,1,2,2,1,1,6868,2158,0,40,60,27184,0,"50",50,11390,0.8,1
"7",307653,"0",21,1,3,21,1,1,4,1,2,1,1,1,17213,4043,0,2,0,9645,0,"50",50,43001,0.04,1
"8",307653,"0",21,1,3,21,1,1,4,1,2,5,1,0,1548,4559,0,40,60,8224,0,"50",50,4497,0.8,1
"9",307653,"0",21,1,3,21,1,1,4,1,2,3,1,1,3502,2614,0,40,60,7946,0,"50",50,6776,0.8,1
"10",307653,"0",21,1,3,21,1,1,4,1,2,4,1,0,2114,2313,0,20,0,5271,0,"50",50,6968,0.4,1
"11",307698,"1",21,1,4,0.25,21,3,4,0,1,4,1,0,2213,1933,0,40,60,5380,0,"20",0,5353,0.8,0.4
"12",307698,"1",21,1,4,0.25,21,3,4,0,1,5,0,0,1882,1956,0,35,0,5510,0,"30",0,6361,0.7,0.6
"13",307698,"1",21,1,4,0.25,21,3,4,0,1,1,1,1,18132,13323,0,30,0,10251,0,"10",90,50487,0.6,0.2
"14",307698,"1",21,1,4,0.25,21,3,4,0,1,2,1,1,3296,1389,0,50,50,6017,0,"10",0,4824,1,0.2
"15",307698,"1",21,1,4,0.25,21,3,4,0,1,3,1,0,2928,1659,0,45,55,5078,0,"10",0,7829,0.9,0.2
"16",307874,"0",18,1,1,18,0,1,2,1,3,2,1,0,8607,9804,0,40,60,4321,0,"45",0,114840,0.8,0.9
"17",307874,"0",18,1,1,18,0,1,2,1,3,1,1,0,17730,26671,0,50,50,15411,0,"50",50,37426,1,1
"18",307874,"0",18,1,1,18,0,1,2,1,3,4,1,1,4000,3689,0,40,60,4625,0,"50",50,16869,0.8,1
"19",307874,"0",18,1,1,18,0,1,2,1,3,3,1,1,5829,20656,0,30,0,5317,0,"45",0,38767,0.6,0.9
"20",307874,"0",18,1,1,18,0,1,2,1,3,5,0,0,2011,1106,0,35,0,5568,0,"1",0,226121,0.7,0.02
"21",308189,"1",20,0,3,0.25,20,3,4,0,16,3,1,0,5904,1000,0,40,60,5532,0,"46",54,11178,0.8,0.92
"22",308189,"1",20,0,3,0.25,20,3,4,0,16,2,1,1,3238,1883,0,43,57,3835,0,"48",52,7640,0.86,0.96
"23",308189,"1",20,0,3,0.25,20,3,4,0,16,1,1,1,11438,8295,0,24,0,10733,0,"41",59,24031,0.48,0.82
"24",308189,"1",20,0,3,0.25,20,3,4,0,16,4,0,0,8250,1116,0,38,0,3164,0,"50",50,7321,0.76,1
"25",308189,"1",20,0,3,0.25,20,3,4,0,16,5,0,0,9745,2839,0,42,58,4799,0,"37",63,5434,0.84,0.74
"26",308192,"1",22,1,4,0.010958904109589,20,2,1,0,5,1,1,0,11891,11091,0,10,0,10860,0,"10",0,25443,0.2,0.2
"27",308192,"1",22,1,4,0.010958904109589,20,2,1,0,5,2,1,0,4829,10159,0,8,0,12519,0,"8",0,13128,0.16,0.16
"28",308192,"1",22,1,4,0.010958904109589,20,2,1,0,5,3,0,0,11382,8225,0,40,60,14292,0,"11",89,11206,0.8,0.22
"29",308192,"1",22,1,4,0.010958904109589,20,2,1,0,5,4,0,0,30952,5029,0,45,55,17719,0,"9",91,15359,0.9,0.18
"30",308192,"1",22,1,4,0.010958904109589,20,2,1,0,5,5,1,0,7399,2426,0,40,60,19414,0,"6",0,16045,0.8,0.12
"31",308194,"1",20,1,3,0.229166666666667,19,2,4,0,4,2,1,0,1433,3656,0,40,60,6841,0,"39",0,9816,0.8,0.78
"32",308194,"1",20,1,3,0.229166666666667,19,2,4,0,4,3,1,0,2498,3611,0,35,0,8344,0,"40",60,41583,0.7,0.8
"33",308194,"1",20,1,3,0.229166666666667,19,2,4,0,4,4,1,0,3343,2021,0,25,0,7032,0,"30",0,22800,0.5,0.6
"34",308194,"1",20,1,3,0.229166666666667,19,2,4,0,4,1,1,0,6172,12998,0,35,0,13026,0,"40",60,16259,0.7,0.8
"35",308194,"1",20,1,3,0.229166666666667,19,2,4,0,4,5,1,0,3903,1371,0,5,0,4510,0,"15",0,11620,0.1,0.3
"36",308202,"0",18,0,1,18,0.416666666666667,1,1,1,6,2,1,1,1732,2033,0,50,50,3338,0,"50",50,4582,1,1
"37",308202,"0",18,0,1,18,0.416666666666667,1,1,1,6,5,1,0,1440,1724,0,40,60,7886,0,"50",50,3263,0.8,1
"38",308202,"0",18,0,1,18,0.416666666666667,1,1,1,6,1,1,1,6805,3109,0,30,0,6321,0,"50",50,5615,0.6,1
"39",308202,"0",18,0,1,18,0.416666666666667,1,1,1,6,4,1,0,2177,1863,0,30,0,4952,0,"50",50,3393,0.6,1
"40",308202,"0",18,0,1,18,0.416666666666667,1,1,1,6,3,0,0,1114,2031,0,40,60,10202,0,"50",50,4636,0.8,1
"41",308209,"0",20,0,3,20,0.25,1,2,1,7,4,1,1,2602,2132,0,39,0,7014,0,"50",50,5245,0.78,1
"42",308209,"0",20,0,3,20,0.25,1,2,1,7,5,1,0,1701,4432,0,46,54,5870,0,"50",50,7156,0.92,1
"43",308209,"0",20,0,3,20,0.25,1,2,1,7,2,1,1,4402,4463,0,30,0,12097,0,"50",50,10914,0.6,1
"44",308209,"0",20,0,3,20,0.25,1,2,1,7,1,1,1,27166,23429,0,50,50,19553,0,"50",50,26313,1,1
"45",308209,"0",20,0,3,20,0.25,1,2,1,7,3,1,1,2075,4073,0,43,57,10918,0,"50",50,5277,0.86,1
"46",308305,"1",21,0,3,0.25,14,3,4,1,8,1,1,1,11382,6521,0,50,50,14450,0,"40",60,40168,1,0.8
"47",308305,"1",21,0,3,0.25,14,3,4,1,8,2,1,0,5759,1590,0,45,55,8277,0,"35",0,34578,0.9,0.7
"48",308305,"1",21,0,3,0.25,14,3,4,1,8,3,1,1,2770,2869,0,40,60,4657,0,"40",60,23284,0.8,0.8
"49",308305,"1",21,0,3,0.25,14,3,4,1,8,4,1,1,2548,6028,0,30,0,7582,0,"40",60,9788,0.6,0.8
"50",308305,"1",21,0,3,0.25,14,3,4,1,8,5,1,0,2425,1336,0,40,60,6657,0,"35",0,10854,0.8,0.7
"51",308318,"0",19,1,2,19.5,0,1,3,0,9,2,1,0,18077,1087,0,3,0,2994,0,"45",55,11411,0.0600000000000001,0.9
"52",308318,"0",19,1,2,19.5,0,1,3,0,9,1,1,1,88409,10228,0,2,0,10128,0,"41",59,32537,0.04,0.82
"53",308318,"0",19,1,2,19.5,0,1,3,0,9,5,0,0,12716,1342,0,26,0,3040,0,"50",50,4564,0.52,1
"54",308318,"0",19,1,2,19.5,0,1,3,0,9,4,1,0,3324,1378,0,11,0,2731,0,"50",50,10868,0.22,1
"55",308318,"0",19,1,2,19.5,0,1,3,0,9,3,1,0,10284,1989,0,20,0,2204,0,"50",50,18830,0.4,1
"56",308375,"1",19,0,2,0.0192307692307692,12,1,3,1,10,2,1,1,5252,5922,0,38,0,4810,0,"10",90,16714,0.76,0.2
"57",308375,"1",19,0,2,0.0192307692307692,12,1,3,1,10,3,1,0,2124,1363,0,51,49,7775,0,"20",80,12226,0.98,0.4
"58",308375,"1",19,0,2,0.0192307692307692,12,1,3,1,10,4,1,0,2605,2174,0,69,31,3408,0,"100",0,6518,0.62,0
"59",308375,"1",19,0,2,0.0192307692307692,12,1,3,1,10,1,1,1,10901,2943,0,40,60,23107,0,"0",100,12623,0.8,0
"60",308375,"1",19,0,2,0.0192307692307692,12,1,3,1,10,5,1,0,4648,2860,0,92,8,5019,0,"93",7,9970,0.16,0.14
"61",308467,"0",19,0,1,19.5,0,4,2,0,17,1,1,0,19909,9874,0,35,0,11020,0,"50",50,36645,0.7,1
"62",308467,"0",19,0,1,19.5,0,4,2,0,17,5,1,0,4764,4304,0,31,0,13887,0,"45",55,19959,0.62,0.9
"63",308467,"0",19,0,1,19.5,0,4,2,0,17,4,1,1,10426,7244,0,40,60,22566,0,"25",0,7604,0.8,0.5
"64",308467,"0",19,0,1,19.5,0,4,2,0,17,3,0,1,17201,5599,0,45,55,7350,0,"30",70,47726,0.9,0.6
"65",308467,"0",19,0,1,19.5,0,4,2,0,17,2,1,0,8674,6751,0,50,50,5133,0,"40",60,6144,1,0.8
"66",308536,"0",18,1,1,18.5833333333333,0.115384615384615,1,3,1,13,2,1,1,9599,2543,0,35,0,4966,0,"34",66,7605,0.7,0.68
"67",308536,"0",18,1,1,18.5833333333333,0.115384615384615,1,3,1,13,5,0,0,8586,4444,0,40,60,3121,0,"53",47,7282,0.8,0.94
"68",308536,"0",18,1,1,18.5833333333333,0.115384615384615,1,3,1,13,3,1,0,2874,7024,0,39,0,8865,0,"50",50,9291,0.78,1
"69",308536,"0",18,1,1,18.5833333333333,0.115384615384615,1,3,1,13,1,1,0,20635,11332,0,40,60,24498,0,"50",50,18905,0.8,1
"70",308536,"0",18,1,1,18.5833333333333,0.115384615384615,1,3,1,13,4,1,1,5930,2240,0,50,50,5371,0,"60",40,7318,1,0.8
"71",308537,"0",18,1,1,18,0.25,1,3,0,11,5,0,0,3652,3114,0,31,0,12070,0,"38",0,10625,0.62,0.76
"72",308537,"0",18,1,1,18,0.25,1,3,0,11,4,0,0,6332,38473,0,42,58,4998,0,"42",58,7965,0.84,0.84
"73",308537,"0",18,1,1,18,0.25,1,3,0,11,3,0,0,12642,2156,0,36,0,7834,0,"35",0,24644,0.72,0.7
"74",308537,"0",18,1,1,18,0.25,1,3,0,11,1,0,0,7731,6013,0,50,50,12878,0,"50",50,26677,1,1
"75",308537,"0",18,1,1,18,0.25,1,3,0,11,2,0,0,7218,3208,0,40,60,5309,0,"50",50,19114,0.8,1
"76",308552,"0",20,0,3,10.5,0,1,1,0,12,2,1,0,9703,3722,0,60,40,49190,0,"60",40,14935,0.8,0.8
"77",308552,"0",20,0,3,10.5,0,1,1,0,12,3,1,1,21256,1680,0,45,55,341,0,"40",60,6126,0.9,0.8
"78",308552,"0",20,0,3,10.5,0,1,1,0,12,1,1,1,37952,13167,0,50,50,9321,0,"50",50,16010,1,1
"79",308552,"0",20,0,3,10.5,0,1,1,0,12,4,1,0,4324,1480,0,40,60,13565,0,"51",49,20241,0.8,0.98
"80",308552,"0",20,0,3,10.5,0,1,1,0,12,5,1,0,11854,1904,0,35,0,5535,0,"49",51,6608,0.7,0.98
"81",308590,"0",19,1,1,19.1299086757991,0,1,2,0,14,4,1,0,3698,2239,0,45,55,7319,0,"50",50,6579,0.9,1
"82",308590,"0",19,1,1,19.1299086757991,0,1,2,0,14,3,1,1,2760,2968,0,45,55,21674,0,"50",50,6396,0.9,1
"83",308590,"0",19,1,1,19.1299086757991,0,1,2,0,14,5,1,0,2422,1642,0,40,60,7765,0,"50",50,5080,0.8,1
"84",308590,"0",19,1,1,19.1299086757991,0,1,2,0,14,2,1,1,4485,2743,0,45,55,11594,0,"50",50,7456,0.9,1
"85",308590,"0",19,1,1,19.1299086757991,0,1,2,0,14,1,1,1,18435,7450,0,50,50,14713,0,"50",50,22048,1,1
"86",308600,"1",21,0,4,0.25,21,1,2,1,15,5,1,0,1821,1556,0,7,0,3255,0,"2",0,11867,0.14,0.04
"87",308600,"1",21,0,4,0.25,21,1,2,1,15,1,1,0,12930,4523,0,27,0,14331,0,"44",0,19796,0.54,0.88
"88",308600,"1",21,0,4,0.25,21,1,2,1,15,2,1,0,2195,2606,0,50,50,5460,0,"49",51,7967,1,0.98
"89",308600,"1",21,0,4,0.25,21,1,2,1,15,4,1,0,2353,2302,0,4,0,3507,0,"40",0,13798,0.08,0.8
"90",308600,"1",21,0,4,0.25,21,1,2,1,15,3,1,0,2192,2026,0,37,0,3836,0,"49",51,12716,0.74,0.98
"91",308780,"1",20,1,3,0.333333333333333,20,4,3,0,18,3,1,1,4393,2715,0,40,60,5150,0,"50",50,5546,0.8,1
"92",308780,"1",20,1,3,0.333333333333333,20,4,3,0,18,1,1,1,69294,6414,0,50,50,22337,0,"50",50,18253,1,1
"93",308780,"1",20,1,3,0.333333333333333,20,4,3,0,18,2,1,1,5263,6264,0,40,60,6666,0,"50",50,6902,0.8,1
"94",308780,"1",20,1,3,0.333333333333333,20,4,3,0,18,4,1,1,4142,3276,0,40,60,4361,0,"50",50,4488,0.8,1
"95",308780,"1",20,1,3,0.333333333333333,20,4,3,0,18,5,1,0,3507,19451,0,30,0,3599,0,"50",50,4293,0.6,1
"96",308947,"1",20,0,3,0.333333333333333,20,3,3,0,20,2,1,0,3044,37282,0,0,0,12028,0,"50",50,4794,0,1
"97",308947,"1",20,0,3,0.333333333333333,20,3,3,0,20,3,1,0,1931,2632,0,0,0,6293,0,"50",50,4300,0,1
"98",308947,"1",20,0,3,0.333333333333333,20,3,3,0,20,4,1,0,4042,1454,0,0,0,18118,0,"50",50,5247,0,1
"99",308947,"1",20,0,3,0.333333333333333,20,3,3,0,20,5,1,0,2117,1299,0,0,0,5381,0,"50",50,4892,0,1
"100",308947,"1",20,0,3,0.333333333333333,20,3,3,0,20,1,1,0,158837,15003,0,50,50,26541,0,"50",50,23893,1,1
